T26,Population employed in research and development (R&D),,,,,
496,Mongolia,2015,R & D personnel: Researchers - women (number in full-time equivalent),915,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2015,R & D personnel: Technicians - total (number in full-time equivalent),97,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2015,R & D personnel: Technicians - women (number in full-time equivalent),33,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),551,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2018,R & D personnel: Total (number in full-time equivalent),"3,026",Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2018,R & D personnel: Researchers - total (number in full-time equivalent),"1,917",Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2018,R & D personnel: Researchers - women (number in full-time equivalent),937,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2018,R & D personnel: Technicians - total (number in full-time equivalent),218,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2018,R & D personnel: Technicians - women (number in full-time equivalent),86,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2018,R & D personnel: Other supporting staff - total (number in full-time equivalent),891,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2015,R & D personnel: Total (number in full-time equivalent),673,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2015,R & D personnel: Researchers - total (number in full-time equivalent),523,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2015,R & D personnel: Researchers - women (number in full-time equivalent),239,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2015,R & D personnel: Technicians - total (number in full-time equivalent),81,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2015,R & D personnel: Technicians - women (number in full-time equivalent),39,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),68,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),47,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2017,R & D personnel: Total (number in full-time equivalent),611,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2017,R & D personnel: Researchers - total (number in full-time equivalent),441,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2017,R & D personnel: Researchers - women (number in full-time equivalent),208,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2017,R & D personnel: Technicians - total (number in full-time equivalent),98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2017,R & D personnel: Technicians - women (number in full-time equivalent),56,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),72,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),51,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2018,R & D personnel: Total (number in full-time equivalent),703,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2018,R & D personnel: Researchers - total (number in full-time equivalent),461,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
504,Morocco,2010,R & D personnel: Total (number in full-time equivalent),"28,041",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
504,Morocco,2010,R & D personnel: Researchers - total (number in full-time equivalent),"23,280",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
504,Morocco,2010,R & D personnel: Researchers - women (number in full-time equivalent),"7,744",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
504,Morocco,2010,R & D personnel: Technicians - total (number in full-time equivalent),"1,697",Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
504,Morocco,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,747",Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
504,Morocco,2012,R & D personnel: Total (number in full-time equivalent),"31,099",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
